timestamp(ms),StprPos,RawGyA,SmRrCA,CrntGyASlow,SmGyA,FlGyA,CrntGyASlw,RawyA,CrnGyASlow,RwGyA,awGyA,RaGyA,mGyA,RawGA,RawGy,CrntyASlow,CrntGyASlo,mRrCA,FGyA,CrntGyAlow,SmRrA,SmRCA,StprPo,CrtGyASlow,CntGyASlow,Stpros,FlGA,SRrCA,rntGyASlow,SmrCA,CrntGASlow,SmyA,FlyA,CrntGySlow,SmRrC,SGyA,CrntGyASow,SmGA,SmGy,FlGy,
"1666958156,559",,,,"0,41","0,25",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958156,562",,,,,,"3,22",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958156,599","3,67",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958156,607",,"0,49",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958156,617",,"0,51",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958156,628",,"0,53",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958156,637",,"0,56",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958156,647",,"0,59",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958156,656",,"0,61","5,76",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958156,659",,,,"0,61","0,39",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958156,663",,,,,,"3,14",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958156,704","4,05",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958156,718",,"0,75",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958156,728",,"0,77",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958156,738",,"0,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958156,748",,"0,81",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958156,756",,"0,82","5,76",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958156,759",,,,"0,82","0,56",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958156,762",,,,,,"3,08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958156,804","4,42",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958156,817",,"0,88",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
