timestamp(ms),StprPos,RawGyA,SmRrCA,CrntGyASlow,SmGyA,FlGyA,CrntGyASlw,RawyA,CrnGyASlow,RwGyA,awGyA,RaGyA,mGyA,RawGA,RawGy,CrntyASlow,CrntGyASlo,mRrCA,FGyA,CrntGyAlow,SmRrA,SmRCA,StprPo,CrtGyASlow,CntGyASlow,Stpros,FlGA,SRrCA,rntGyASlow,SmrCA,CrntGASlow,SmyA,FlyA,CrntGySlow,SmRrC,SGyA,CrntGyASow,SmGA,SmGy,FlGy,
"1666958162,308",,"3,87",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958162,318",,"3,87",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958162,328",,"3,87",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958162,338",,"3,88",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958162,347",,"3,87","5,85",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958162,35",,,,"3,87","3,89",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958162,353",,,,,,"3,22",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958162,362","10,01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958162,368",,"3,89",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958162,378",,"3,9",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958162,389",,"3,89",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958162,398",,"3,9",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958162,408",,"3,92",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958162,417",,"3,92","5,85",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958162,42",,,,"3,92","3,9",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958162,423",,,,,,"3,24",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958162,428",,"3,93",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958162,438",,"3,93",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958162,448",,"3,93",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958162,459",,"3,95",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958162,468",,"3,96",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958162,477",,"3,96","5,85",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958162,48",,,,"3,96","3,92",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958162,483",,,,,,"3,26",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958162,488",,"3,97",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958162,498",,"3,97",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958162,508",,"3,98",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958162,518",,"3,99",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958162,528",,"3,99",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958162,537",,"3,99","5,85",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958162,54",,,,"3,99","3,95",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958162,544",,,,,,"3,28",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958162,549",,"4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958162,559",,"4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958162,569",,"3,99",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958162,578",,"4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958162,589",,"4,01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958162,597",,"4","5,85",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958162,6",,,,"4","3,97",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958162,603",,,,,,"3,3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958162,608",,"3,99",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958162,618",,"4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958162,628",,"4,01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958162,638",,"4,01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958162,648",,"4,01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958162,657",,"4,01","5,85",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958162,66",,,,"4,01","3,99",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958162,663",,,,,,"3,32",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958162,669",,"4,03",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958162,678",,"4,05",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958162,689",,"4,03",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958162,698",,"4,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958162,709",,"4,05",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958162,717",,"4,05","5,85",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958162,72",,,,"4,05","4,01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958162,723",,,,,,"3,35",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958162,728",,"4,06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958162,738",,"4,06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958162,749",,"4,06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958162,758",,"4,06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958162,769",,"4,05",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958162,777",,"4,06","5,86",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958162,78",,,,"4,06","4,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958162,783",,,,,,"3,37",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958162,788",,"4,05",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958162,798",,"4,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958162,808",,"4,03",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958162,818",,"4,03",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958162,828",,"4,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958162,837",,"4,04","5,86",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958162,84",,,,"4,04","4,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958162,843",,,,,,"3,39",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958162,848",,"4,03",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958162,858",,"4,03",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958162,869",,"4,02",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958162,879",,"4,02",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958162,888",,"3,99",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958162,897",,"3,97","5,86",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958162,9",,,,"3,97","4,02",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958162,903",,,,,,"3,41",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958162,915","9,93",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958162,928",,"3,96",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958162,938",,"3,93",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958162,948",,"3,92",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958162,958",,"3,93",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958162,967",,"3,95","5,86",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958162,97",,,,"3,95","3,99",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958162,973",,,,,,"3,42",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958162,985","9,85",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958162,998",,"3,93",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958163,008",,"3,95",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958163,018",,"3,97",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958163,028",,"3,96",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958163,037",,"3,95","5,86",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958163,04",,,,"3,95","3,97",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958163,043",,,,,,"3,43",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958163,048",,"3,95",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958163,058",,"3,98",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958163,068",,"3,98",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958163,079",,"3,98",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958163,088",,"3,99",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958163,097",,"4","5,86",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958163,1",,,,"4","3,98",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958163,103",,,,,,"3,45",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958163,113","9,78",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958163,128",,"4,03",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958163,138",,"4,05",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958163,152",,"4,05",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958163,158",,"4,07",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958163,167",,"4,05","5,86",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958163,17",,,,"4,05","4,01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958163,173",,,,,,"3,46",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958163,178",,"4,06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958163,188",,"4,07",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958163,198",,"4,06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958163,208",,"4,06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958163,218",,"4,05",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958163,228",,"4,04","5,86",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958163,23",,,,"4,04","4,03",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958163,233",,,,,,"3,48",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958163,238",,"4,05",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958163,248",,"4,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958163,258",,"4,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958163,268",,"4,03",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958163,278",,"4,02",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958163,287",,"4,03",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958163,288",,,"5,86",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958163,29",,,,"4,03","4,03",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958163,293",,,,,,"3,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958163,298",,"4,02",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958163,308",,"4,02",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958163,318",,"4,01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958163,328",,"4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958163,339",,"4,01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958163,347",,"4,01","5,86",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958163,35",,,,"4,01","4,02",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958163,353",,,,,,"3,51",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958163,358",,"4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958163,368",,"4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958163,378",,"4,01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958163,388",,"4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958163,398",,"4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958163,407",,"3,99","5,86",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958163,41",,,,"3,99","4,01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958163,413",,,,,,"3,53",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958163,426","9,7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958163,438",,"4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958163,448",,"3,99",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958163,458",,"3,97",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958163,468",,"4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958163,477",,"3,99","5,86",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958163,48",,,,"3,99","4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958163,483",,,,,,"3,54",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958163,488",,"3,99",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958163,499",,"3,97",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958163,509",,"3,98",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958163,518",,"4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958163,528",,"4,01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958163,537",,"3,99","5,85",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958163,54",,,,"3,99","4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958163,543",,,,,,"3,55",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958163,554","9,63",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958163,568",,"4,01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958163,578",,"4,02",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958163,589",,"4,01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958163,599",,"4,01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958163,607",,"4,02","5,85",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958163,61",,,,"4,02","4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958163,613",,,,,,"3,56",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958163,618",,"4,01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958163,628",,"4,02",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958163,639",,"4,03",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958163,648",,"4,03",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958163,659",,"4,03",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958163,667",,"4,04","5,85",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958163,67",,,,"4,04","4,02",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958163,674",,,,,,"3,58",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958163,678",,"4,05",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958163,688",,"4,05",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958163,698",,"4,06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958163,708",,"4,07",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958163,719",,"4,07",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958163,727",,"4,08","5,85",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958163,73",,,,"4,08","4,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958163,733",,,,,,"3,59",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958163,738",,"4,09",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958163,749",,"4,08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958163,758",,"4,09",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958163,768",,"4,09",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958163,778",,"4,09",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958163,787",,"4,09","5,85",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958163,79",,,,"4,09","4,06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958163,794",,,,,,"3,61",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958163,799",,"4,1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958163,809",,"4,09",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958163,819",,"4,09",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958163,829",,"4,09",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958163,839",,"4,1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958163,847",,"4,1","5,85",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958163,85",,,,"4,1","4,08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958163,853",,,,,,"3,62",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958163,858",,"4,09",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958163,868",,"4,11",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958163,878",,"4,13",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958163,888",,"4,12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958163,899",,"4,14",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958163,908",,"4,14","5,85",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958163,91",,,,"4,14","4,1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958163,914",,,,,,"3,64",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958163,918",,"4,15",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958163,929",,"4,17",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958163,939",,"4,18",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958163,949",,"4,18",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958163,958",,"4,19",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958163,967",,"4,2","5,86",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958163,97",,,,"4,2","4,14",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958163,974",,,,,,"3,65",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958163,985","9,71",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958163,999",,"4,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958164,008",,"4,19",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958164,018",,"4,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958164,028",,"4,19",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958164,037",,"4,17","5,86",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958164,04",,,,"4,17","4,16",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958164,043",,,,,,"3,66",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958164,049",,"4,17",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958164,058",,"4,18",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958164,069",,"4,17",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958164,079",,"4,16",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958164,089",,"4,16",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958164,097",,"4,17",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958164,098",,,"5,87",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958164,1",,,,"4,17","4,16",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958164,103",,,,,,"3,68",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958164,108",,"4,16",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958164,118",,"4,16",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958164,129",,"4,16",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958164,138",,"4,16",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958164,148",,"4,17",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958164,157",,"4,16","5,87",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958164,16",,,,"4,16","4,16",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958164,164",,,,,,"3,69",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958164,168",,"4,18",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958164,178",,"4,19",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958164,189",,"4,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958164,199",,"4,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958164,209",,"4,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958164,217",,"4,22","5,87",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958164,22",,,,"4,22","4,18",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958164,223",,,,,,"3,71",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958164,229",,"4,23",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958164,239",,"4,23",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958164,249",,"4,23",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958164,259",,"4,24",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958164,269",,"4,24",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1666958164,277",,"4,23","5,88",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
